iso3,area_id,map_level,map_name,map_id,map_source
CIV,CIV_2_045st,2,Gagnoa 1,HgAGgNFJBLO,Datim
CIV,CIV_2_046ob,2,Gagnoa 2,keuoFuCkJc9,Datim
CIV,CIV_2_047vh,2,Oume,U7FcpSTowY0,Datim
CIV,CIV_2_048bk,2,Bondoukou,bPtyVLYWLS1,Datim
CIV,CIV_2_049vl,2,Koun-Fao,oBgB5TCnud9,Datim
CIV,CIV_2_050sl,2,Sandegue,hxfdOEY4kqW,Datim
CIV,CIV_2_051vs,2,Tanda,hGbktMoaboh,Datim
CIV,CIV_2_052wf,2,Transua,gDqtRGMWHYh,Datim
CIV,CIV_2_053oo,2,Dabou,lD9LV6eBHfQ,Datim
CIV,CIV_2_054cq,2,Grand-Lahou,lWBnsQf68dS,Datim
CIV,CIV_2_055vj,2,Jacqueville,CRixH2BASvF,Datim
CIV,CIV_2_056ga,2,Bangolo,YJRrSeTDrY5,Datim
CIV,CIV_2_057ii,2,Duekoue,qtas4LeSMFk,Datim
CIV,CIV_2_058ir,2,Kouibly,MfdlUVk17qs,Datim
CIV,CIV_2_059xu,2,Dabakala,o2U3SNx0JLJ,Datim
CIV,CIV_2_060hz,2,Katiola,jNb2wWbxIk8,Datim
CIV,CIV_2_061oj,2,Niakaramadougou,oeiTlj4Anh8,Datim
CIV,CIV_2_062yq,2,Daloa,Afx3d2MkpEG,Datim
CIV,CIV_2_063xl,2,Issia,xVqaF0orSHP,Datim
CIV,CIV_2_064qn,2,Vavoua,MU6pT5Itenu,Datim
CIV,CIV_2_065gw,2,Zoukougbeu,SWnJKh6SBdx,Datim
CIV,CIV_2_066jv,2,Daoukro,FIP1evPz2kO,Datim
CIV,CIV_2_067xq,2,M'bahiakro,QVU3rUTd6WX,Datim
CIV,CIV_2_068zk,2,Prikro,glRlVubWojg,Datim
CIV,CIV_2_069ml,2,Abengourou,qHfnRvlDq0u,Datim
CIV,CIV_2_070jp,2,Agnibilekrou,nYehWt8N4nw,Datim
CIV,CIV_2_071yt,2,Bettie,f4tnMBWJUve,Datim
CIV,CIV_2_072yt,2,Madinani,JywGOviALHQ,Datim
CIV,CIV_2_073eq,2,Odienne,adZqc2OAgKp,Datim
CIV,CIV_2_074qz,2,Divo,rRlVGR4SAOy,Datim
CIV,CIV_2_075qv,2,Guitry,Cf9M88GSMkI,Datim
CIV,CIV_2_076mi,2,Lakota,rqem7WGjUpm,Datim
CIV,CIV_2_077jm,2,Bouafle,zxtqOKeUsFf,Datim
CIV,CIV_2_078rs,2,Sinfra,LUgbTJHOa8M,Datim
CIV,CIV_2_079cx,2,Zuenoula,KgKj4XmQtQX,Datim
CIV,CIV_2_080zq,2,Adzope,Mz99jaYsFxm,Datim
CIV,CIV_2_081sa,2,Akoupe,UDEHiTgnxZF,Datim
CIV,CIV_2_082cj,2,Alepe,XtadO5Nbz1l,Datim
CIV,CIV_2_083fn,2,Yakasse-Attobrou,ZJGH98L8kgX,Datim
CIV,CIV_2_084ip,2,Arrah,jRCAWX024ru,Datim
CIV,CIV_2_085xj,2,Bongouanou,pKg0FPsUjcz,Datim
CIV,CIV_2_086iu,2,M'Batto,w8PDMwI00or,Datim
CIV,CIV_2_087sv,2,Bocanda,sg5OeSC3e76,Datim
CIV,CIV_2_088ip,2,Dimbokro,EwBdT0P1NoK,Datim
CIV,CIV_2_089ic,2,Kouassikouassikro,gW9ZImPVIdD,Datim
CIV,CIV_2_090yf,2,Buyo,mtjBMrFExWI,Datim
CIV,CIV_2_091ae,2,Gueyo,zULBF1vgW7M,Datim
CIV,CIV_2_092aa,2,Meagui,RjWBYFdUDkK,Datim
CIV,CIV_2_093wr,2,Soubre,jPk4oCBlN23,Datim
CIV,CIV_2_094wl,2,Dikodougou,pGItUIZ8Vy3,Datim
CIV,CIV_2_095av,2,Korhogo 1,h6OQqWW1691,Datim
CIV,CIV_2_096tn,2,Korhogo 2,kYIe3TVqwDU,Datim
CIV,CIV_2_097st,2,M'Bengue,uVNbNCxOI4R,Datim
CIV,CIV_2_098hi,2,Sinematiali,lZWD4jGmzTz,Datim
CIV,CIV_2_099iq,2,San-Pedro,wvQfMc2sxSi,Datim
CIV,CIV_2_100zm,2,Tabou,O2PDFcA1UBs,Datim
CIV,CIV_2_101oy,2,Aboisso,qzPP0iILjH9,Datim
CIV,CIV_2_102br,2,Adiake,auvAbmX414m,Datim
CIV,CIV_2_103wd,2,Grand-Bassam,vwUs4s32SzY,Datim
CIV,CIV_2_104jx,2,Tiapoum,pRFO6Tocugk,Datim
CIV,CIV_2_105gf,2,Ferkessedougou,Ro2e9NndrG9,Datim
CIV,CIV_2_106sj,2,Kong,IO61FGcXLsJ,Datim
CIV,CIV_2_107av,2,Ouangolodougou,eSuJxZpd2tT,Datim
CIV,CIV_2_108po,2,Biankouma,lDZEiz8wxkg,Datim
CIV,CIV_2_109ue,2,Danane,iclnG0nW8le,Datim
