calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2018Q2,3,Thyolo,15-19,0.14629770867701758,0.11624172999318191,0.17942310756757077
CY2018Q2,3,Thyolo,20-24,0.20340609774998128,0.16341793912856156,0.24645673988701255
CY2018Q2,3,Thyolo,25-29,0.16095286987877616,0.12962444083586405,0.19413395779407855
CY2018Q2,3,Thyolo,30-34,0.1256109729934901,0.10115979312884486,0.15240438421365798
CY2018Q2,3,Thyolo,35-39,0.08451681614919782,0.06742423310338948,0.10355935528816386
CY2018Q2,3,Thyolo,40-44,0.045089328622123774,0.034702020387852466,0.0563160507022265
CY2018Q2,3,Thyolo,45-49,0.01720302634076718,0.01211360259035378,0.022883638234316883
CY2019Q2,3,Thyolo,15-19,0.1485932396584076,0.11440843951417495,0.18640151349994483
CY2019Q2,3,Thyolo,20-24,0.2070003633164446,0.16204791881790706,0.2565554846721581
CY2019Q2,3,Thyolo,25-29,0.1641133199191395,0.12927901619429932,0.20232895664075246
CY2019Q2,3,Thyolo,30-34,0.12859023731044,0.10075177727369079,0.15971043644692046
CY2019Q2,3,Thyolo,35-39,0.0868770157304363,0.06784373519545667,0.10838327590815144
CY2019Q2,3,Thyolo,40-44,0.0466095212710016,0.03540178822365218,0.05897950114658903
CY2019Q2,3,Thyolo,45-49,0.017794204856888624,0.012424412965763956,0.023952292124155942
CY2020Q2,3,Thyolo,15-19,0.14922023988475303,0.11225181817858834,0.19231720332366833
CY2020Q2,3,Thyolo,20-24,0.21042809766217646,0.15979964519700088,0.26518543899898245
CY2020Q2,3,Thyolo,25-29,0.1664129114290425,0.12769608392184892,0.20992598757582046
CY2020Q2,3,Thyolo,30-34,0.13096547990427787,0.09943141281470795,0.16617794227773874
CY2020Q2,3,Thyolo,35-39,0.08879654837006028,0.06730359920461232,0.11286313743009518
CY2020Q2,3,Thyolo,40-44,0.04771077781240432,0.03542492156929625,0.06150486938830585
CY2020Q2,3,Thyolo,45-49,0.01823772228974127,0.012442312056988408,0.025015587180008184
CY2000Q2,3,Chikwawa,15-19,0.1890161294181427,0.17423802199735638,0.2044239751737173
CY2000Q2,3,Chikwawa,20-24,0.2953969259653549,0.27472711969456376,0.31640278045091985
CY2000Q2,3,Chikwawa,25-29,0.27140299890223063,0.25136327075805337,0.29204559865972785
CY2000Q2,3,Chikwawa,30-34,0.23750182245319398,0.21719232621051518,0.25849642225173
CY2000Q2,3,Chikwawa,35-39,0.19475803368036626,0.17485817585612534,0.21548707269927164
CY2000Q2,3,Chikwawa,40-44,0.133760084595617,0.11489365682956278,0.15340375527981462
CY2000Q2,3,Chikwawa,45-49,0.06032824682039937,0.04700852445853919,0.07456149250039092
CY2001Q2,3,Chikwawa,15-19,0.1710712012522571,0.15739228888142673,0.18542542551598393
CY2001Q2,3,Chikwawa,20-24,0.2631677228868391,0.24530562365451739,0.2819516422119458
